[Thu Jun 23 13:39:50.685749 2016] [:error] [pid 19613] [client 127.0.0.1:56027] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/mollir/wp-content/themes/mollir/template-parts/content-index.php on line 8, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:39:50.687024 2016] [:error] [pid 19613] [client 127.0.0.1:56027] PHP Stack trace:, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:39:50.687098 2016] [:error] [pid 19613] [client 127.0.0.1:56027] PHP   1. {main}() /home/serg/site/mollir/index.php:0, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:39:50.687117 2016] [:error] [pid 19613] [client 127.0.0.1:56027] PHP   2. require() /home/serg/site/mollir/index.php:17, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:39:50.687130 2016] [:error] [pid 19613] [client 127.0.0.1:56027] PHP   3. require_once() /home/serg/site/mollir/wp-blog-header.php:19, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:39:50.687145 2016] [:error] [pid 19613] [client 127.0.0.1:56027] PHP   4. include() /home/serg/site/mollir/wp-includes/template-loader.php:75, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:39:50.687159 2016] [:error] [pid 19613] [client 127.0.0.1:56027] PHP   5. get_template_part() /home/serg/site/mollir/wp-content/themes/mollir/page.php:22, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:39:50.687170 2016] [:error] [pid 19613] [client 127.0.0.1:56027] PHP   6. locate_template() /home/serg/site/mollir/wp-includes/general-template.php:167, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:39:50.687183 2016] [:error] [pid 19613] [client 127.0.0.1:56027] PHP   7. load_template() /home/serg/site/mollir/wp-includes/template.php:531, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:39:50.687193 2016] [:error] [pid 19613] [client 127.0.0.1:56027] PHP   8. require() /home/serg/site/mollir/wp-includes/template.php:574, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:43:04.836513 2016] [:error] [pid 19613] [client 127.0.0.1:56053] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/mollir/wp-content/themes/mollir/template-parts/content-index.php on line 8, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:43:04.836550 2016] [:error] [pid 19613] [client 127.0.0.1:56053] PHP Stack trace:, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:43:04.836563 2016] [:error] [pid 19613] [client 127.0.0.1:56053] PHP   1. {main}() /home/serg/site/mollir/index.php:0, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:43:04.836572 2016] [:error] [pid 19613] [client 127.0.0.1:56053] PHP   2. require() /home/serg/site/mollir/index.php:17, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:43:04.836581 2016] [:error] [pid 19613] [client 127.0.0.1:56053] PHP   3. require_once() /home/serg/site/mollir/wp-blog-header.php:19, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:43:04.836590 2016] [:error] [pid 19613] [client 127.0.0.1:56053] PHP   4. include() /home/serg/site/mollir/wp-includes/template-loader.php:75, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
